"Route","Signal","WordPress value","Astro production value","Match status","Difference type","Action","Reason"
"/servis-aircond-murah-kl-the-ultimate-2026-guide-to-a-colder-home/","Main visible content","342993403d766c2ac04c59648bf84d4a8b51e977b3e1ab159da63060ec7792b6","adc9c7f5eb6f4ccbf828244f6591a27f3b1163e8237413291997eac4c3f027f7","INTENTIONAL_CORRECTION","UNSUPPORTED_CLAIM_REMOVED","PRESERVE_APPROVED_ASTRO","90-day warranty and satisfaction language remain excluded"
"/servis-aircond-murah-kl-the-ultimate-2026-guide-to-a-colder-home/","Image references","https://secure.gravatar.com/avatar/4c7a7e136a0e22539059a09b5784869ac34f14870c8711497f9feb22be355403?s=96&d=mm&r=g | https://rkrenosolution.com/wp-content/uploads/2026/01/Servis-Aircond-Murah-KL-technician-cleaning-wall-mounted-unit-filter.jpeg?q=80&w=1000&auto=format&fit=crop","/assets/media/owner/rk-reno-aircond-indoor-unit-service-access-960.webp","INTENTIONAL_CORRECTION","UNSUPPORTED_CLAIM_REMOVED","PRESERVE_APPROVED_ASTRO","90-day warranty and satisfaction language remain excluded"
"/servis-cuci-rumah-kl-the-ultimate-2026-guide-to-a-spotless-home/","Meta description","Services › Maintenance › Cleaning Servis Cuci Rumah KL: The Ultimate 2026 Guide to a Spotless Home By RK Cleaning Expert 7 Minute Read Kuala Lumpur, MY Moving into a new house or finishing a renovation is exciting, but the thick layers of dust and cement stains left behind are a nightmare. In a busy","Prepare a clear home-cleaning scope around rooms, surfaces, access, property condition and the level of cleaning required.","INTENTIONAL_CORRECTION","UNSUPPORTED_CLAIM_REMOVED","PRESERVE_APPROVED_ASTRO","Unsupported satisfaction guarantee remains excluded"
"/servis-cuci-rumah-kl-the-ultimate-2026-guide-to-a-spotless-home/","Robots","max-image-preview:large","index, follow","EQUIVALENT_SAFE","TECHNICAL_IMPLEMENTATION_DIFFERENCE","PRESERVE_APPROVED_ASTRO","The Astro control is explicit and matches the approved production indexing strategy."
"/servis-cuci-rumah-kl-the-ultimate-2026-guide-to-a-spotless-home/","Main headings","H1:Servis Cuci Rumah KL: The Ultimate 2026 Guide to a Spotless Home | H2:1. Types of Cleaning (Jenis Cucian Rumah) | H3:Move-In / Move-Out Cleaning | H3:Post-Renovation Cleaning (Cuci Lepas Reno) | H3:Spring Cleaning (Cuci Raya / Deep Clean) | H2:2. The Danger of Post-Renovation Dust | H2:3. Our Step-by-Step Cleaning Process | H3:Rumah Berhabuk Selepas Renovation? | H2:4. Do You Need to Provide Equipment? | H2:5. Harga Servis Cuci Rumah KL (2026 Guide) | H2:6. Kenapa Pilih RK Reno Solution? | H3:Leave A Comment Cancel Comment","H1:Servis Cuci Rumah KL: The Ultimate 2026 Guide to a Spotless Home | H2:Servis Cuci Rumah KL: The Ultimate 2026 Guide to a Spotless Home | H2:1. Types of Cleaning (Jenis Cucian Rumah) | H3:Move-In / Move-Out Cleaning | H3:Post-Renovation Cleaning (Cuci Lepas Reno) | H3:Spring Cleaning (Cuci Raya / Deep Clean) | H2:2. The Danger of Post-Renovation Dust | H2:3. Our Step-by-Step Cleaning Process | H3:Rumah Berhabuk Selepas Renovation? | H2:4. Do You Need to Provide Equipment? | H2:5. Harga Servis Cuci Rumah KL (2026 Guide) | H2:6. Kenapa Pilih RK Reno Solution? | H2:Request a clear scope and quotation | H2:Related service | H2:Recent guides | H2:Search","INTENTIONAL_CORRECTION","UNSUPPORTED_CLAIM_REMOVED","PRESERVE_APPROVED_ASTRO","Unsupported satisfaction guarantee remains excluded"
"/servis-cuci-rumah-kl-the-ultimate-2026-guide-to-a-spotless-home/","Open Graph description","Services › Maintenance › Cleaning Servis Cuci Rumah KL: The Ultimate 2026 Guide to a Spotless Home By RK Cleaning Expert 7 Minute Read Kuala Lumpur, MY Moving into a new house or finishing a renovation is exciting, but the thick layers of dust and cement stains left behind are a nightmare. In a busy","Prepare a clear home-cleaning scope around rooms, surfaces, access, property condition and the level of cleaning required.","INTENTIONAL_CORRECTION","UNSUPPORTED_CLAIM_REMOVED","PRESERVE_APPROVED_ASTRO","Unsupported satisfaction guarantee remains excluded"
"/servis-cuci-rumah-kl-the-ultimate-2026-guide-to-a-spotless-home/","Open Graph image","https://rkrenosolution.com/wp-content/uploads/2026/03/RK-Reno-Solutions-Logo.png","https://rkrenosolution.com/assets/media/RK-Reno-Solutions-Logo-942f64bb.png","INTENTIONAL_CORRECTION","UNSUPPORTED_CLAIM_REMOVED","PRESERVE_APPROVED_ASTRO","Unsupported satisfaction guarantee remains excluded"
"/servis-cuci-rumah-kl-the-ultimate-2026-guide-to-a-spotless-home/","Schema types","BlogPosting | BreadcrumbList | Organization | Person | WebPage | WebSite | FAQPage","BlogPosting","EQUIVALENT_SAFE","TECHNICAL_IMPLEMENTATION_DIFFERENCE","PRESERVE_APPROVED_ASTRO","The Astro control is explicit and matches the approved production indexing strategy."
"/servis-cuci-rumah-kl-the-ultimate-2026-guide-to-a-spotless-home/","Published date","2026-03-28T11:39:14+00:00","2026-03-28T11:39:14","INTENTIONAL_CORRECTION","UNSUPPORTED_CLAIM_REMOVED","PRESERVE_APPROVED_ASTRO","Unsupported satisfaction guarantee remains excluded"
"/servis-cuci-rumah-kl-the-ultimate-2026-guide-to-a-spotless-home/","Modified date","2026-03-28T11:40:14+00:00","2026-03-28T11:40:14","INTENTIONAL_CORRECTION","UNSUPPORTED_CLAIM_REMOVED","PRESERVE_APPROVED_ASTRO","Unsupported satisfaction guarantee remains excluded"
"/servis-cuci-rumah-kl-the-ultimate-2026-guide-to-a-spotless-home/","Sitemap presence","FALSE","TRUE","EQUIVALENT_SAFE","TECHNICAL_IMPLEMENTATION_DIFFERENCE","PRESERVE_APPROVED_ASTRO","The Astro control is explicit and matches the approved production indexing strategy."
"/servis-cuci-rumah-kl-the-ultimate-2026-guide-to-a-spotless-home/","Important internal links","/servis-cuci-rumah-kl-the-ultimate-2026-guide-to-a-spotless-home/ | / | /house-renovation-in-kuala-lumpur/ | /plaster-ceiling-contractor-kl/ | /tag/cleaning/ | /servis-aircond-murah-kl-the-ultimate-2026-guide-to-a-colder-home/ | /blog/ | /upah-pasang-aircond-selangor-panduan-harga-pemasangan-2026/","/ | /house-renovation-in-kuala-lumpur/ | /plaster-ceiling-contractor-kl/ | /servis-cuci-rumah-kl/ | /pakej-deep-cleaning-rumah-kl-termasuk-pre-hari-raya/ | /services/ | /contact-us/ | /aircond-installation-kl-the-ultimate-2026-guide-rk-reno-solution/ | /commercial-retail-shop-renovation-in-kuala-lumpur/ | /electrical-services-selangor-the-complete-safety-pricing-guide-2026-edition/ | /house-renovation-in-kuala-lumpur-the-ultimate-planning-cost-guide-2026/ | /house-renovation-in-selangor-the-ultimate-2026-guide-to-extending-your-home/","INTENTIONAL_CORRECTION","UNSUPPORTED_CLAIM_REMOVED","PRESERVE_APPROVED_ASTRO","Unsupported satisfaction guarantee remains excluded"
"/servis-cuci-rumah-kl-the-ultimate-2026-guide-to-a-spotless-home/","Main visible content","dcd7dfc0e7a53c1124e63fc4db15a275097239d4a85a82cc8deadb63f08bfc11","6f88f2a78cd1305ad9e95b17e6dee108af4eeeb7bfbc58cda91d38d36131e670","INTENTIONAL_CORRECTION","UNSUPPORTED_CLAIM_REMOVED","PRESERVE_APPROVED_ASTRO","Unsupported satisfaction guarantee remains excluded"
"/servis-cuci-rumah-kl-the-ultimate-2026-guide-to-a-spotless-home/","Image references","https://secure.gravatar.com/avatar/4c7a7e136a0e22539059a09b5784869ac34f14870c8711497f9feb22be355403?s=96&d=mm&r=g | https://rkrenosolution.com/wp-content/uploads/2026/01/Professional-Servis-Cuci-Rumah-KL-team-performing-deep-cleaning-in-living-room.jpeg?q=80&w=1000&auto=format&fit=crop","/assets/media/servis-cuci-rumah-kl-2e2d046e.jpg","INTENTIONAL_CORRECTION","UNSUPPORTED_CLAIM_REMOVED","PRESERVE_APPROVED_ASTRO","Unsupported satisfaction guarantee remains excluded"
"/servis-cuci-rumah-kl/","Meta description","Bersih Pantas Trusted Pakar Servis Cuci Rumah KL Keep your home spotless with RK Reno Solution. We provide professional Servis Cuci Rumah KL, including move-in cleaning, post-renovation cleaning, and spring cleaning. WhatsApp Sekarang Email Quote 2000+ Rumah Dicuci 100% Puas Hati 4 Jam Sesi Minima 4.9/5 Google Rating Kenapa Pilih Kami untuk Servis Cuci Rumah","Enquire about general, deep, move-in or move-out, and post-renovation home cleaning in Kuala Lumpur, subject to the current supported scope.","INTENTIONAL_CORRECTION","UNSUPPORTED_CLAIM_REMOVED","PRESERVE_APPROVED_ASTRO","Unsupported sanitisation, satisfaction, review and counter claims remain excluded"
"/servis-cuci-rumah-kl/","Robots","max-image-preview:large","index, follow","EQUIVALENT_SAFE","TECHNICAL_IMPLEMENTATION_DIFFERENCE","PRESERVE_APPROVED_ASTRO","The Astro control is explicit and matches the approved production indexing strategy."
"/servis-cuci-rumah-kl/","H1","","Servis Cuci Rumah KL","INTENTIONAL_CORRECTION","UNSUPPORTED_CLAIM_REMOVED","PRESERVE_APPROVED_ASTRO","Unsupported sanitisation, satisfaction, review and counter claims remain excluded"
"/servis-cuci-rumah-kl/","Main headings","","H1:Servis Cuci Rumah KL | H2:Pakar Servis Cuci Rumah KL | H2:Kenapa Pilih Kami untuk Servis Cuci Rumah KL? | H3:Pakar Servis Cuci Rumah KL (Deep Cleaning) | H3:Senarai Servis Cuci Rumah KL Kami | H3:1. Booking & Assessment | H3:2. Team Arrival | H3:3. Top-to-Bottom Cleaning | H3:4. Final Inspection | H3:Quote Servis Cuci Rumah KL | H2:Pakej Servis Cuci Rumah KL | H3:Post-Renovation | H3:Move-In / Move-Out | H3:Spring Cleaning | H3:Fabric Cleaning | H3:Office Cleaning | H3:Part-Time Maid | H2:FAQ Mengenai Servis Cuci Rumah KL | H2:Panduan Berkaitan | H2:Ready to Work Together?","INTENTIONAL_CORRECTION","UNSUPPORTED_CLAIM_REMOVED","PRESERVE_APPROVED_ASTRO","Unsupported sanitisation, satisfaction, review and counter claims remain excluded"
"/servis-cuci-rumah-kl/","Open Graph description","Bersih Pantas Trusted Pakar Servis Cuci Rumah KL Keep your home spotless with RK Reno Solution. We provide professional Servis Cuci Rumah KL, including move-in cleaning, post-renovation cleaning, and spring cleaning. WhatsApp Sekarang Email Quote 2000+ Rumah Dicuci 100% Puas Hati 4 Jam Sesi Minima 4.9/5 Google Rating Kenapa Pilih Kami untuk Servis Cuci Rumah","Enquire about general, deep, move-in or move-out, and post-renovation home cleaning in Kuala Lumpur, subject to the current supported scope.","INTENTIONAL_CORRECTION","UNSUPPORTED_CLAIM_REMOVED","PRESERVE_APPROVED_ASTRO","Unsupported sanitisation, satisfaction, review and counter claims remain excluded"
"/servis-cuci-rumah-kl/","Open Graph image","https://rkrenosolution.com/wp-content/uploads/2026/03/RK-Reno-Solutions-Logo.png","https://rkrenosolution.com/assets/media/RK-Reno-Solutions-Logo-942f64bb.png","INTENTIONAL_CORRECTION","UNSUPPORTED_CLAIM_REMOVED","PRESERVE_APPROVED_ASTRO","Unsupported sanitisation, satisfaction, review and counter claims remain excluded"
"/servis-cuci-rumah-kl/","Schema types","BreadcrumbList | Organization | WebPage | WebSite | HouseCleaning","Service | FAQPage","EQUIVALENT_SAFE","TECHNICAL_IMPLEMENTATION_DIFFERENCE","PRESERVE_APPROVED_ASTRO","The Astro control is explicit and matches the approved production indexing strategy."
"/servis-cuci-rumah-kl/","Published date","2026-03-28T10:24:31+00:00","","INTENTIONAL_CORRECTION","UNSUPPORTED_CLAIM_REMOVED","PRESERVE_APPROVED_ASTRO","Unsupported sanitisation, satisfaction, review and counter claims remain excluded"
"/servis-cuci-rumah-kl/","Modified date","2026-06-07T09:21:14+00:00","","INTENTIONAL_CORRECTION","UNSUPPORTED_CLAIM_REMOVED","PRESERVE_APPROVED_ASTRO","Unsupported sanitisation, satisfaction, review and counter claims remain excluded"
"/servis-cuci-rumah-kl/","Sitemap presence","FALSE","TRUE","EQUIVALENT_SAFE","TECHNICAL_IMPLEMENTATION_DIFFERENCE","PRESERVE_APPROVED_ASTRO","The Astro control is explicit and matches the approved production indexing strategy."
"/servis-cuci-rumah-kl/","Important internal links","","/ | /services/ | /servis-cuci-rumah-kl-the-ultimate-2026-guide-to-a-spotless-home/ | /pakej-deep-cleaning-rumah-kl-termasuk-pre-hari-raya/ | /contact-us/","INTENTIONAL_CORRECTION","UNSUPPORTED_CLAIM_REMOVED","PRESERVE_APPROVED_ASTRO","Unsupported sanitisation, satisfaction, review and counter claims remain excluded"
"/servis-cuci-rumah-kl/","Main visible content","e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855","b793b11f2c2da8277af026a919414cea00579ceaa2a564f68c5efa1de53c527e","INTENTIONAL_CORRECTION","UNSUPPORTED_CLAIM_REMOVED","PRESERVE_APPROVED_ASTRO","Unsupported sanitisation, satisfaction, review and counter claims remain excluded"
"/servis-cuci-rumah-kl/","Image references","","/assets/media/detailed-kitchen-cleaning-kl-67669628.jpg | /assets/media/servis-cuci-rumah-kl-2e2d046e.jpg | /assets/media/detailed-kitchen-cleaning-kl-67669628.jpg | /assets/media/home7-img7-f8f5cbc2.webp","INTENTIONAL_CORRECTION","UNSUPPORTED_CLAIM_REMOVED","PRESERVE_APPROVED_ASTRO","Unsupported sanitisation, satisfaction, review and counter claims remain excluded"
"/thank-you/","Robots","max-image-preview:large","noindex, nofollow","EQUIVALENT_SAFE","TECHNICAL_IMPLEMENTATION_DIFFERENCE","PRESERVE_APPROVED_ASTRO","The Astro control is explicit and matches the approved production indexing strategy."
"/thank-you/","H1","","Thank You","INTENTIONAL_CORRECTION","DEMO_CONTENT_REMOVED","PRESERVE_APPROVED_ASTRO","The live fake direct-visit success confirmation is intentionally not reproduced"
"/thank-you/","Main headings","H2:Thank You!","H1:Thank You | H2:A direct visit does not confirm an enquiry was submitted","INTENTIONAL_CORRECTION","DEMO_CONTENT_REMOVED","PRESERVE_APPROVED_ASTRO","The live fake direct-visit success confirmation is intentionally not reproduced"
"/thank-you/","Open Graph image","https://rkrenosolution.com/wp-content/uploads/2026/03/RK-Reno-Solutions-Logo.png","https://rkrenosolution.com/assets/media/RK-Reno-Solutions-Logo-942f64bb.png","INTENTIONAL_CORRECTION","DEMO_CONTENT_REMOVED","PRESERVE_APPROVED_ASTRO","The live fake direct-visit success confirmation is intentionally not reproduced"
"/thank-you/","Schema types","BreadcrumbList | Organization | WebPage | WebSite","WebPage","EQUIVALENT_SAFE","TECHNICAL_IMPLEMENTATION_DIFFERENCE","PRESERVE_APPROVED_ASTRO","The Astro control is explicit and matches the approved production indexing strategy."
"/thank-you/","Published date","2025-01-22T07:23:02+00:00","","INTENTIONAL_CORRECTION","DEMO_CONTENT_REMOVED","PRESERVE_APPROVED_ASTRO","The live fake direct-visit success confirmation is intentionally not reproduced"
"/thank-you/","Modified date","2025-01-22T07:23:02+00:00","","INTENTIONAL_CORRECTION","DEMO_CONTENT_REMOVED","PRESERVE_APPROVED_ASTRO","The live fake direct-visit success confirmation is intentionally not reproduced"
"/thank-you/","Important internal links","","/ | /contact-us/ | /services/","INTENTIONAL_CORRECTION","DEMO_CONTENT_REMOVED","PRESERVE_APPROVED_ASTRO","The live fake direct-visit success confirmation is intentionally not reproduced"
"/thank-you/","Main visible content","3293b7b3da04ead1028f0dbe27f77684549cdfd62dea43bec75bdec86b2429b7","fe1976de1e5ac8f3ca0f530d8a516f2312c8b330df880925428e266f6948ea77","INTENTIONAL_CORRECTION","DEMO_CONTENT_REMOVED","PRESERVE_APPROVED_ASTRO","The live fake direct-visit success confirmation is intentionally not reproduced"
"/category/commercial/","Meta description","","Planning guides for retail and office renovation, including layout, services, access and handover considerations.","INTENTIONAL_CORRECTION","DEMO_CONTENT_REMOVED","PRESERVE_APPROVED_ASTRO","Tag clouds, plugin clutter, newsletter/career material and imported demo footer content remain excluded"
"/category/commercial/","Robots","max-image-preview:large","noindex, follow","EQUIVALENT_SAFE","TECHNICAL_IMPLEMENTATION_DIFFERENCE","PRESERVE_APPROVED_ASTRO","The Astro control is explicit and matches the approved production indexing strategy."
"/category/commercial/","H1","","Commercial","INTENTIONAL_CORRECTION","DEMO_CONTENT_REMOVED","PRESERVE_APPROVED_ASTRO","Tag clouds, plugin clutter, newsletter/career material and imported demo footer content remain excluded"
"/category/commercial/","Main headings","H2:Office Renovation Petaling Jaya: Corporate Fit-Out Experts | H2:Office Renovation in Kuala Lumpur: The 2026 Corporate Guide to Productivity","H1:Commercial | H2:Latest articles | H2:Commercial Retail Shop Renovation in Kuala Lumpur | H2:Office Renovation in Kuala Lumpur: Fit-Out Planning Guide | H2:Office Renovation Petaling Jaya: Corporate Fit-Out Planning | H2:Categories & topics | H2:Discuss the property and work scope | H2:Connect the guide to the actual property","INTENTIONAL_CORRECTION","DEMO_CONTENT_REMOVED","PRESERVE_APPROVED_ASTRO","Tag clouds, plugin clutter, newsletter/career material and imported demo footer content remain excluded"
"/category/commercial/","Open Graph title","","Commercial - RK Reno Solution","INTENTIONAL_CORRECTION","DEMO_CONTENT_REMOVED","PRESERVE_APPROVED_ASTRO","Tag clouds, plugin clutter, newsletter/career material and imported demo footer content remain excluded"
"/category/commercial/","Open Graph description","","Planning guides for retail and office renovation, including layout, services, access and handover considerations.","INTENTIONAL_CORRECTION","DEMO_CONTENT_REMOVED","PRESERVE_APPROVED_ASTRO","Tag clouds, plugin clutter, newsletter/career material and imported demo footer content remain excluded"
"/category/commercial/","Open Graph URL","","https://rkrenosolution.com/category/commercial/","INTENTIONAL_CORRECTION","DEMO_CONTENT_REMOVED","PRESERVE_APPROVED_ASTRO","Tag clouds, plugin clutter, newsletter/career material and imported demo footer content remain excluded"
"/category/commercial/","Open Graph image","","https://rkrenosolution.com/assets/media/RK-Reno-Solutions-Logo-942f64bb.png","INTENTIONAL_CORRECTION","DEMO_CONTENT_REMOVED","PRESERVE_APPROVED_ASTRO","Tag clouds, plugin clutter, newsletter/career material and imported demo footer content remain excluded"
"/category/commercial/","Schema types","BreadcrumbList | CollectionPage | Organization | WebSite","CollectionPage","EQUIVALENT_SAFE","TECHNICAL_IMPLEMENTATION_DIFFERENCE","PRESERVE_APPROVED_ASTRO","The Astro control is explicit and matches the approved production indexing strategy."
"/category/commercial/","Important internal links","/category/commercial/ | /office-renovation-petaling-jaya-corporate-fit-out-experts/ | /office-renovation-in-kuala-lumpur-the-2026-corporate-guide-to-productivity/","/ | /commercial-retail-shop-renovation-in-kuala-lumpur/ | /office-renovation-in-kuala-lumpur-the-2026-corporate-guide-to-productivity/ | /office-renovation-petaling-jaya-corporate-fit-out-experts/ | /category/commercial/ | /category/hvac-guides/ | /category/maintenance/ | /category/renovation/ | /category/servis-pembersihan/ | /category/technical-guides/ | /tag/interior-finishing/ | /tag/office-fit-out/ | /tag/waterproofing/ | /office-renovation-in-kuala-lumpur/ | /contact-us/ | /blog/","INTENTIONAL_CORRECTION","DEMO_CONTENT_REMOVED","PRESERVE_APPROVED_ASTRO","Tag clouds, plugin clutter, newsletter/career material and imported demo footer content remain excluded"
"/category/commercial/","Main visible content","5a4590dddb080b89362c5d7242c0a283e80fa3b6d6211e425e77dd77ac88d2ab","85deff0ff19862477b7099f741bf21df4f613675def30ecf460a87cd386657b6","INTENTIONAL_CORRECTION","DEMO_CONTENT_REMOVED","PRESERVE_APPROVED_ASTRO","Tag clouds, plugin clutter, newsletter/career material and imported demo footer content remain excluded"
"/category/commercial/","Image references","https://secure.gravatar.com/avatar/4c7a7e136a0e22539059a09b5784869ac34f14870c8711497f9feb22be355403?s=96&d=mm&r=g | https://secure.gravatar.com/avatar/4c7a7e136a0e22539059a09b5784869ac34f14870c8711497f9feb22be355403?s=96&d=mm&r=g","","INTENTIONAL_CORRECTION","DEMO_CONTENT_REMOVED","PRESERVE_APPROVED_ASTRO","Tag clouds, plugin clutter, newsletter/career material and imported demo footer content remain excluded"
"/category/hvac-guides/","Meta description","","Aircond guides covering installation planning, maintenance and quotation factors for Kuala Lumpur and Selangor properties.","INTENTIONAL_CORRECTION","DEMO_CONTENT_REMOVED","PRESERVE_APPROVED_ASTRO","Tag clouds, plugin clutter, newsletter/career material and imported demo footer content remain excluded"
"/category/hvac-guides/","Robots","max-image-preview:large","noindex, follow","EQUIVALENT_SAFE","TECHNICAL_IMPLEMENTATION_DIFFERENCE","PRESERVE_APPROVED_ASTRO","The Astro control is explicit and matches the approved production indexing strategy."
"/category/hvac-guides/","H1","","HVAC Guides","INTENTIONAL_CORRECTION","DEMO_CONTENT_REMOVED","PRESERVE_APPROVED_ASTRO","Tag clouds, plugin clutter, newsletter/career material and imported demo footer content remain excluded"
"/category/hvac-guides/","Main headings","H2:Upah Pasang Aircond Selangor: Panduan Harga & Pemasangan (2026) | H2:Servis Aircond Murah KL: The Ultimate 2026 Guide to a Colder Home | H2:Aircond Installation KL The Ultimate 2026 Guide – RK Reno Solution","H1:HVAC Guides | H2:Latest articles | H2:Aircond Installation KL: Planning Guide for 2026 | H2:Servis Aircond KL: Maintenance and Troubleshooting Guide | H2:Upah Pasang Aircond Selangor: Panduan Harga & Pemasangan | H2:Categories & topics | H2:Discuss the property and work scope | H2:Connect the guide to the actual property","INTENTIONAL_CORRECTION","DEMO_CONTENT_REMOVED","PRESERVE_APPROVED_ASTRO","Tag clouds, plugin clutter, newsletter/career material and imported demo footer content remain excluded"
"/category/hvac-guides/","Open Graph title","","HVAC Guides - RK Reno Solution","INTENTIONAL_CORRECTION","DEMO_CONTENT_REMOVED","PRESERVE_APPROVED_ASTRO","Tag clouds, plugin clutter, newsletter/career material and imported demo footer content remain excluded"
"/category/hvac-guides/","Open Graph description","","Aircond guides covering installation planning, maintenance and quotation factors for Kuala Lumpur and Selangor properties.","INTENTIONAL_CORRECTION","DEMO_CONTENT_REMOVED","PRESERVE_APPROVED_ASTRO","Tag clouds, plugin clutter, newsletter/career material and imported demo footer content remain excluded"
"/category/hvac-guides/","Open Graph URL","","https://rkrenosolution.com/category/hvac-guides/","INTENTIONAL_CORRECTION","DEMO_CONTENT_REMOVED","PRESERVE_APPROVED_ASTRO","Tag clouds, plugin clutter, newsletter/career material and imported demo footer content remain excluded"
"/category/hvac-guides/","Open Graph image","","https://rkrenosolution.com/assets/media/RK-Reno-Solutions-Logo-942f64bb.png","INTENTIONAL_CORRECTION","DEMO_CONTENT_REMOVED","PRESERVE_APPROVED_ASTRO","Tag clouds, plugin clutter, newsletter/career material and imported demo footer content remain excluded"
"/category/hvac-guides/","Schema types","BreadcrumbList | CollectionPage | Organization | WebSite","CollectionPage","EQUIVALENT_SAFE","TECHNICAL_IMPLEMENTATION_DIFFERENCE","PRESERVE_APPROVED_ASTRO","The Astro control is explicit and matches the approved production indexing strategy."
"/category/hvac-guides/","Important internal links","/category/hvac-guides/ | /upah-pasang-aircond-selangor-panduan-harga-pemasangan-2026/ | /servis-aircond-murah-kl-the-ultimate-2026-guide-to-a-colder-home/ | /aircond-installation-kl-the-ultimate-2026-guide-rk-reno-solution/","/ | /aircond-installation-kl-the-ultimate-2026-guide-rk-reno-solution/ | /servis-aircond-murah-kl-the-ultimate-2026-guide-to-a-colder-home/ | /upah-pasang-aircond-selangor-panduan-harga-pemasangan-2026/ | /category/commercial/ | /category/hvac-guides/ | /category/maintenance/ | /category/renovation/ | /category/servis-pembersihan/ | /category/technical-guides/ | /tag/interior-finishing/ | /tag/office-fit-out/ | /tag/waterproofing/ | /aircond-installation-kl/ | /contact-us/ | /blog/","INTENTIONAL_CORRECTION","DEMO_CONTENT_REMOVED","PRESERVE_APPROVED_ASTRO","Tag clouds, plugin clutter, newsletter/career material and imported demo footer content remain excluded"
"/category/hvac-guides/","Main visible content","5c18dc71c4c3ac8fd457a807e875f76992b4afef924912d7c5a1054a83565d87","294855087f270981d17754aa8b3aedb007fe603888753ca3cb82f349799813ec","INTENTIONAL_CORRECTION","DEMO_CONTENT_REMOVED","PRESERVE_APPROVED_ASTRO","Tag clouds, plugin clutter, newsletter/career material and imported demo footer content remain excluded"
"/category/hvac-guides/","Image references","https://secure.gravatar.com/avatar/4c7a7e136a0e22539059a09b5784869ac34f14870c8711497f9feb22be355403?s=96&d=mm&r=g | https://secure.gravatar.com/avatar/4c7a7e136a0e22539059a09b5784869ac34f14870c8711497f9feb22be355403?s=96&d=mm&r=g | https://secure.gravatar.com/avatar/4c7a7e136a0e22539059a09b5784869ac34f14870c8711497f9feb22be355403?s=96&d=mm&r=g","","INTENTIONAL_CORRECTION","DEMO_CONTENT_REMOVED","PRESERVE_APPROVED_ASTRO","Tag clouds, plugin clutter, newsletter/career material and imported demo footer content remain excluded"
"/category/maintenance/","Meta description","","Maintenance planning for aircond servicing, cleaning, leakage inspection and site-dependent repair work.","INTENTIONAL_CORRECTION","DEMO_CONTENT_REMOVED","PRESERVE_APPROVED_ASTRO","Tag clouds, plugin clutter, newsletter/career material and imported demo footer content remain excluded"
"/category/maintenance/","Robots","max-image-preview:large","noindex, follow","EQUIVALENT_SAFE","TECHNICAL_IMPLEMENTATION_DIFFERENCE","PRESERVE_APPROVED_ASTRO","The Astro control is explicit and matches the approved production indexing strategy."
"/category/maintenance/","H1","","Maintenance","INTENTIONAL_CORRECTION","DEMO_CONTENT_REMOVED","PRESERVE_APPROVED_ASTRO","Tag clouds, plugin clutter, newsletter/career material and imported demo footer content remain excluded"
"/category/maintenance/","Main headings","H2:Pakej Deep Cleaning Rumah KL (Termasuk Pre-Hari Raya) | H2:PU Injection Waterproofing KL: How to Fix Wall Cracks Permanently | H2:Waterproofing Contractor Kuala Lumpur: The Complete Guide to Stopping Leaks (2026) | H2:Servis Cuci Rumah KL: The Ultimate 2026 Guide to a Spotless Home","H1:Maintenance | H2:Latest articles | H2:Pakej Deep Cleaning Rumah KL: Scope and Enquiry Guide | H2:PU Injection Waterproofing KL: Crack and Leak Repair Guide | H2:Servis Aircond KL: Maintenance and Troubleshooting Guide | H2:Servis Cuci Rumah KL: Home Cleaning Planning Guide | H2:Waterproofing Contractor Kuala Lumpur: Leak Inspection Guide (2026) | H2:Categories & topics | H2:Discuss the property and work scope | H2:Connect the guide to the actual property","INTENTIONAL_CORRECTION","DEMO_CONTENT_REMOVED","PRESERVE_APPROVED_ASTRO","Tag clouds, plugin clutter, newsletter/career material and imported demo footer content remain excluded"
"/category/maintenance/","Open Graph title","","Maintenance - RK Reno Solution","INTENTIONAL_CORRECTION","DEMO_CONTENT_REMOVED","PRESERVE_APPROVED_ASTRO","Tag clouds, plugin clutter, newsletter/career material and imported demo footer content remain excluded"
"/category/maintenance/","Open Graph description","","Maintenance planning for aircond servicing, cleaning, leakage inspection and site-dependent repair work.","INTENTIONAL_CORRECTION","DEMO_CONTENT_REMOVED","PRESERVE_APPROVED_ASTRO","Tag clouds, plugin clutter, newsletter/career material and imported demo footer content remain excluded"
"/category/maintenance/","Open Graph URL","","https://rkrenosolution.com/category/maintenance/","INTENTIONAL_CORRECTION","DEMO_CONTENT_REMOVED","PRESERVE_APPROVED_ASTRO","Tag clouds, plugin clutter, newsletter/career material and imported demo footer content remain excluded"
"/category/maintenance/","Open Graph image","","https://rkrenosolution.com/assets/media/RK-Reno-Solutions-Logo-942f64bb.png","INTENTIONAL_CORRECTION","DEMO_CONTENT_REMOVED","PRESERVE_APPROVED_ASTRO","Tag clouds, plugin clutter, newsletter/career material and imported demo footer content remain excluded"
"/category/maintenance/","Schema types","BreadcrumbList | CollectionPage | Organization | WebSite","CollectionPage","EQUIVALENT_SAFE","TECHNICAL_IMPLEMENTATION_DIFFERENCE","PRESERVE_APPROVED_ASTRO","The Astro control is explicit and matches the approved production indexing strategy."
